Lemma,POS,# Occurrences
がる,Suffix,37
情報,Noun,37
自身,Noun,37
何れ,Pronoun,37
偉い,い-Adjective,37
怒る,Verb,37
クリスマス-Christmas,Noun,37
特に,Adverb,36
例,Noun,36
本,Suffix,36
遅い,い-Adjective,36
辺,Noun,36
其方,Pronoun,36
側,Noun,36
残る,Verb,36
ぅ,Auxiliary Symbol,36
口,Noun,36
動く,Verb,36
餓鬼,Noun,36
豆腐,Noun,36
伯父,Noun,36
今年,Noun,35
疲れ,Noun,35
丁度,Adverb,35
発見,Noun,35
ふん,Interjection,35
状況,Noun,35
酷い,い-Adjective,35
大人,Noun,35
人生,Noun,34
分,Noun,34
消える,Verb,34
少年,Noun,34
場合,Noun,34
真,Prefix,34
狙う,Verb,34
役,Noun,34
高い,い-Adjective,34
捨てる,Verb,34
幸せ,Noun,34
神,Noun,34
掛かる,Verb,33
会,Noun,33
天気,Noun,33
詰まる,Verb,33
静か,な-Adjective,33
似る,Verb,33
慣れる,Verb,33
平気,Noun,33
妙,Noun,33
今回,Noun,33
代わり,Noun,33
不安,Noun,33
勿論,Adverb,33
安心,Noun,33
空く,Verb,33
タツミ,Noun,33
病室,Noun,33
演劇,Noun,33
形,Noun,32
おっと,Interjection,32
受ける,Verb,32
点,Noun,32
転校,Noun,32
手伝う,Verb,32
進む,Verb,32
残念,な-Adjective,32
繋がる,Verb,32
焦る,Verb,32
揃う,Verb,32
野郎,Noun,32
雪,Noun,32
リーダー-leader,Noun,32
伝わる,Verb,32
合コン,Noun,32
ナナ,Noun,32
バスケ-basketball,Noun,32
バイト-Arbeit,Noun,31
帰り,Noun,31
女性,Noun,31
感謝,Noun,31
途中,Noun,31
新しい,い-Adjective,31
降る,Verb,31
こら,Interjection,31
理由,Noun,31
あー,Interjection,31
放り込む,Verb,31
説明,Noun,31
刑事,Noun,31
嫌い,Noun,31
思い,Noun,31
捕まる,Verb,31
料理,Noun,31
大切,な-Adjective,31
クボ,Noun,31
サッカー-soccer,Noun,31
ほっと,Adverb,31
花,Noun,30
行成,Adverb,30
行う,Verb,30
ははは,Interjection,30
臭い,Suffix,30
掴む,Verb,30
一体,Adverb,30
任せる,Verb,30
迚も,Adverb,30
旅行,Noun,30
色んな,Adnominal,30
生まれる,Verb,30
変える,Verb,30
喜ぶ,Verb,30
此の間,Noun,30
間違える,Verb,30
クジ,Noun,30
答え,Noun,30
存在,Noun,30
向かう,Verb,29
毎日,Noun,29
漸と,Adverb,29
痛い,い-Adjective,29
怪しい,い-Adjective,29
始まる,Verb,29
切る,Verb,29
期待,Noun,29
死体,Noun,29
逆,Noun,29
少ない,い-Adjective,29
高,Prefix,29
遣る気,Noun,29
或る,Adnominal,29
集まる,Verb,29
真面目,な-Adjective,29
以外,Noun,29
不思議,Noun,29
母親,Noun,29
とる,Auxiliary Verb,29
必死,な-Adjective,29
急ぐ,Verb,29
大きな,Adnominal,28
朝,Noun,28
女将,Noun,28
折角,Adverb,28
忙しい,い-Adjective,28
そう-伝聞,Noun,28
やばい,い-Adjective,28
小さい,い-Adjective,28
大,Prefix,28
住む,Verb,28
超,Prefix,28
望む,Verb,28
詰まり,Adverb,28
いえ,Interjection,28
意識,Noun,28
コミュ-community,Noun,28
味,Noun,28
弁当,Noun,28
休み,Noun,28
アイドル-idol,Noun,28
負ける,Verb,28
結果,Noun,27
照れる,Verb,27
助かる,Verb,27
謝る,Verb,27
当然,な-Adjective,27
遊び,Noun,27
第,Prefix,27
危ない,い-Adjective,27
無,Prefix,27
動機,Noun,27
ゲーム-game,Noun,27
誘拐,Noun,27
男の子,Noun,27
神社,Noun,27
いらっしゃる,Verb,26
奥,Noun,26
相,Prefix,26
春,Noun,26
邪魔,Noun,26
九,Noun,26
盛り上がる,Verb,26
売り場,Noun,26
遂に,Adverb,26
張る,Verb,26
質問,Noun,26
戦う,Verb,26
向き合う,Verb,26
どうせ,Adverb,26
番,Noun,26
台詞,Noun,26
全員,Noun,26
推理,Noun,26
奇麗,な-Adjective,26
適当,Noun,26
干支,Noun,26
食材,Noun,26
理解,Noun,26
別れる,Verb,26
祭,Suffix,26
沢山,Adverb,26
ケーキ-cake,Noun,26
愛する,Verb,26
特訓,Noun,26
近く,Noun,25
詳しい,い-Adjective,25
大きい,い-Adjective,25
ぃ,Auxiliary Symbol,25
午後,Noun,25
冗談,Noun,25
騒ぐ,Verb,25
余計,な-Adjective,25
寒い,い-Adjective,25
協力,Noun,25
眼鏡,Noun,25
危険,Noun,25
人物,Noun,25
無し,Noun,25
首,Noun,25
田舎,Noun,25
新た,な-Adjective,25
御腹,Noun,25
座る,Verb,25
苦手,Noun,25
来週,Noun,25
因み,Noun,25
相談,Noun,25
王,Noun,25
深い,い-Adjective,24
一応,Noun,24
実際,Noun,24
きり,Particle,24
む,Auxiliary Verb,24
今更,Adverb,24
周り,Noun,24
誘う,Verb,24
用,Noun,24
知り合い,Noun,24
気分,Noun,24
やあ,Interjection,24
調べる,Verb,24
半分,Noun,24
不味い,い-Adjective,24
内容,Noun,24
連続,Noun,24
離れる,Verb,24
笑顔,Noun,24
関わる,Verb,24
運動,Noun,24
円-助数詞,Noun,24
失敗,Noun,24
遠い,い-Adjective,24
回る,Verb,24
悔しい,い-Adjective,24
断る,Verb,24
減る,Verb,24
カワ,Code,24
残す,Verb,24
開く,Verb,24
状,Suffix,24
結婚,Noun,24
致す,Verb,23
頂く,Verb,23
男子,Noun,23
室,Suffix,23
犯行,Noun,23
大体,Noun,23
当たる,Verb,23
足,Noun,23
確かめる,Verb,23
身,Noun,23
回復,Noun,23
久々,Noun,23
終える,Verb,23
山,Noun,23
自宅,Noun,23
文字,Noun,23
見詰める,Verb,22
系,Suffix,22
道,Noun,22
携帯,Noun,22
焼け,Noun,22
失礼,Noun,22
放る,Verb,22
取れる,Verb,22
彼氏,Noun,22
働く,Verb,22
偶然,Noun,22
頼り,Noun,22
勇気,Noun,22
驚く,Verb,22
本人,Noun,22
タイプ-type,Noun,22
倒れる,Verb,22
似合う,Verb,22
頼る,Verb,22
難しい,い-Adjective,22
攫う,Verb,22
偶に,Adverb,22
若い,い-Adjective,22
服,Noun,22
中間,Noun,22
愛,Noun,22
カシワギ,Noun,22
火,Noun,22
微笑む,Verb,22
名,Noun,21
解く,Verb,21
紹介,Noun,21
御袋,Noun,21
出掛ける,Verb,21
モロオカ,Noun,21
メイ,Code,21
き,Auxiliary Verb,21
態々,Adverb,21
手伝い,Noun,21
久しい,い-Adjective,21
辺り,Noun,21
肩,Noun,21
いー,Interjection,21
易い,Suffix,21
木,Noun,21
手掛かり,Noun,21
中々,Adverb,21
原因,Noun,21
時々,Noun,21
確り,Adverb,21
映像,Noun,21
平和,Noun,21
仄か,な-Adjective,21
幾ら,Adverb,21
歩く,Verb,21
下る,Verb,21
追う,Verb,21
一生,Noun,21
ゆっくり,Adverb,21
止まる,Verb,21
員,Suffix,21
汗,Noun,21
受け入れる,Verb,21
粉,Noun,21
信頼,Noun,21
救済,Noun,21
試合,Noun,21
苦笑い,Noun,21
近い,い-Adjective,20
運命,Noun,20
参る,Verb,20
扠,Conjunction,20
娘,Noun,20
迎える,Verb,20
氏,Suffix,20
求める,Verb,20
地元,Noun,20
あい,Interjection,20
触れる,Verb,20
簡単,な-Adjective,20
引っ掛かる,Verb,20
不明,Noun,20
現場,Noun,20
むかつく,Verb,20
合う,Verb,20
夫,Noun,20
何の,Adnominal,20
重い,い-Adjective,20
今夜,Noun,20
行動,Noun,20
隠す,Verb,20
だらけ,Suffix,20
失踪,Noun,20
チェック-check,Noun,20
救出,Noun,20
匂い,Noun,20
水着,Noun,20
恐らく,Adverb,20
胸,Noun,20
足りる,Verb,20
懸命,な-Adjective,20
委員,Noun,20
活動,Noun,20
涙,Noun,20
部員,Noun,20
同士,Suffix,19
発表,Noun,19
糞,Noun,19
正しい,い-Adjective,19
合わせる,Verb,19
ふう,Interjection,19
抑,Noun,19
事情,Noun,19
増える,Verb,19
影響,Noun,19
起こる,Verb,19
証拠,Noun,19
確認,Noun,19
本物,Noun,19
丸で,Adverb,19
振る,Verb,19
命,Noun,19
着る,Verb,19
芽生え,Noun,19
鼻,Noun,19
向く,Verb,19
疑う,Verb,19
むむ,Interjection,19
赤い,い-Adjective,19
流す,Verb,19
得意,Noun,19
嫌う,Verb,19
近付く,Verb,19
保健,Noun,19
ユー-you,Noun,19
英語,Noun,19
アルバイト-Arbeit,Noun,19
父親,Noun,19
未来,Noun,18
成る程,Adverb,18
写真,Noun,18
左,Noun,18
飯,Noun,18
村,Noun,18
隣り,Noun,18
