Word,Lemma,POS,# Occurrences
オニーチャン,,Noun,41
入り,入る,Verb,40
そいつ,其奴,Pronoun,40
さぁ,さあ,Interjection,40
大人しく,大人しい,い-Adjective,40
試し,試し,Noun,40
付け,付ける,Verb,40
うまく,旨い,い-Adjective,40
続き,続く,Verb,40
つか,付く,Verb,40
ニンゲン,人間,Noun,40
元,元,Noun,40
掃除,掃除,Noun,40
7,,Noun,40
世話,世話,Noun,40
始め,始める,Verb,40
ヤバい,やばい,い-Adjective,40
てっ,てく,Auxiliary Verb,40
警備,警備,Noun,40
バトル,バトル-battle,Noun,40
スロット,スロット-slot,Noun,40
会員,会員,Noun,40
8,,Noun,40
生命,生命,Noun,40
○,○,Auxiliary Symbol,39
回復,回復,Noun,39
殺し,殺す,Verb,39
あいつ,彼奴,Pronoun,39
嘘,嘘,Noun,39
シダ,羊歯,Noun,39
姉,姉,Noun,39
困っ,困る,Verb,39
戦う,戦う,Verb,39
まだまだ,未だ未だ,Adverb,39
どうぞ,どうぞ,Adverb,39
高校,高校,Noun,39
移動,移動,Noun,39
6,,Noun,39
スキル,スキル-skill,Noun,38
くせ,癖,Noun,38
元気,元気,Noun,38
こりゃ,此れ,Pronoun,38
礼,礼,Noun,38
置い,置く,Verb,38
アイテム,アイテム-item,Noun,38
名,名,Noun,38
続け,続ける,Verb,38
正面,正面,Noun,38
ムリ,無理,Noun,38
変わら,変わる,Verb,38
夏,夏,Noun,38
教会,教会,Noun,38
妙,妙,Noun,38
ともかく,兎も角,Adverb,38
ナシ,梨,Noun,38
そー,そう,Adverb,38
ミ,ミ,Code,38
上がっ,上がる,Verb,38
続い,続く,Verb,38
装置,装置,Noun,38
制御,制御,Noun,38
消え,消える,Verb,38
捜査,捜査,Noun,38
頭取,頭取,Noun,38
確実,確実,な-Adjective,37
運命,運命,Noun,37
ども,共,Suffix,37
ヨ,よ,Particle,37
城,城,Noun,37
べ,べい,Particle,37
予想,予想,Noun,37
証拠,証拠,Noun,37
オイ,おい,Interjection,37
答え,答え,Noun,37
見える,見える,Verb,37
筈,筈,Noun,37
ユースケ,ユウスケ,Noun,37
集中,集中,Noun,37
9,,Noun,37
会っ,会う,Verb,37
早速,早速,Adverb,37
空い,空く,Verb,37
そりゃ,其れ,Pronoun,37
意外,意外,な-Adjective,37
