Lemma,POS,P4 Occurrences,P5 Occurrences
エリ,Noun,50,0
名前,Noun,49,76
電話,Noun,49,77
えー,Interjection,49,68
相手,Noun,49,241
ぽい,Suffix,49,73
なあ,Interjection,49,49
元,Noun,49,42
べし,Auxiliary Verb,49,116
文化,Noun,49,6
へえ,Interjection,48,88
り,Auxiliary Verb,48,46
授業,Noun,48,25
可笑しい,い-Adjective,48,43
店,Noun,48,243
始める,Verb,48,62
積り,Noun,48,151
許す,Verb,48,132
決まる,Verb,48,69
風,Noun,48,25
完,Noun,48,1
商店,Noun,47,3
ぇ,Auxiliary Symbol,47,80
落ち着く,Verb,47,80
サキ,Noun,47,0
女の子,Noun,47,26
件,Noun,47,94
煩い,い-Adjective,47,35
立つ,Verb,47,59
読む,Verb,47,90
鐘,Suffix,47,3
親,Noun,46,71
外,Noun,46,93
連絡,Noun,46,199
只,Noun,46,74
楽,Noun,46,26
くそ,Interjection,46,53
被害,Noun,46,57
市,Noun,45,1
生徒,Noun,45,71
山野,Noun,45,0
何故,Adverb,45,61
伝える,Verb,45,60
可哀想,な-Adjective,45,15
多分,Adverb,45,46
引く-他動詞,Verb,45,47
回,Noun,45,67
うふふ,Interjection,45,6
川,Noun,45,1
ヒサ,Noun,45,0
謎,Noun,44,24
都会,Noun,44,16
取り敢えず,Adverb,44,95
何方,Pronoun,44,47
振り,Suffix,44,36
結局,Noun,44,64
はっきり,Adverb,44,26
悲しい,い-Adjective,44,10
認める,Verb,44,54
狐,Noun,44,0
癖,Noun,44,59
頷く,Verb,44,2
興味,Noun,43,91
ちっ,Adverb,43,34
休む,Verb,43,54
暗い,い-Adjective,43,10
姿,Noun,43,77
様子,Noun,43,77
ほど,Particle,43,86
下,Noun,43,77
買い物,Noun,43,15
夢,Noun,42,87
現実,Noun,42,107
など,Particle,42,121
すっ,Adverb,42,27
乗る,Verb,42,122
彼女,Pronoun,42,38
御陰,Noun,42,65
うー,Interjection,42,31
黙る,Verb,42,79
車,Noun,41,19
番組,Noun,41,177
クラス-class,Noun,41,10
ながら,Particle,41,87
要る,Verb,41,43
捜査,Noun,41,38
無事,な-Adjective,41,45
疲れる,Verb,41,79
終わり,Noun,41,62
然も,Conjunction,41,34
さあ,Interjection,40,78
暫く,Adverb,40,58
過ぎ,Suffix,40,73
暇,Noun,40,121
彼処,Pronoun,40,43
べい,Particle,40,36
容疑,Noun,40,14
迷惑,Noun,40,45
準備,Noun,40,159
渡す,Verb,40,43
本気,Noun,40,58
正直,Adverb,40,29
然し,Conjunction,39,88
昔,Noun,39,31
ど,Particle,39,37
必ず,Adverb,39,45
数,Noun,39,64
真実,Noun,39,10
楽しみ,Noun,39,85
続ける,Verb,39,82
ダミー-dummy,Noun,39,7
ニュース-news,Noun,38,67
不,Prefix,38,76
空気,Noun,38,23
捕まえる,Verb,38,17
カード-card,Noun,37,91
客,Noun,37,94
貴様,Pronoun,37,48
流石,Adverb,37,108
遺体,Noun,37,1
婆,Noun,37,9
がる,Suffix,37,46
情報,Noun,37,259
自身,Noun,37,33
何れ,Pronoun,37,48
偉い,い-Adjective,37,43
怒る,Verb,37,48
クリスマス-Christmas,Noun,37,11
特に,Adverb,36,22
例,Noun,36,83
本,Suffix,36,163
遅い,い-Adjective,36,33
辺,Noun,36,30
其方,Pronoun,36,89
側,Noun,36,35
残る,Verb,36,39
ぅ,Auxiliary Symbol,36,72
口,Noun,36,83
動く,Verb,36,101
餓鬼,Noun,36,79
豆腐,Noun,36,2
伯父,Noun,36,40
今年,Noun,35,16
疲れ,Noun,35,30
丁度,Adverb,35,36
発見,Noun,35,35
ふん,Interjection,35,48
