Word,Lemma,POS,P4 Occurrences,P5 Occurrences
皆,皆,Noun,77,65
面倒,面倒,Noun,41,65
あん,有る,Verb,37,65
以外,以外,Noun,29,65
頼ん,頼む,Verb,23,65
ぃ,ぃ,Auxiliary Symbol,20,65
映画,映画,Noun,12,65
わたし,私,Pronoun,9,65
ウ,ウ,Noun,8,65
結局,結局,Noun,42,64
数,数,Noun,39,64
下,下,Noun,38,64
コイツ,此奴,Pronoun,28,64
いよいよ,愈,Adverb,16,64
おこう,置く,Verb,7,64
仮面,仮面,Noun,4,64
新宿,シンジュク,Noun,0,64
シンジュク,Noun,0,64
まー,まー,Interjection,59,63
行か,行く,Verb,49,63
なれ,成る,Verb,47,63
為,為,Noun,24,63
さま,様,Suffix,23,63
邪魔,邪魔,Noun,17,63
館,館,Suffix,9,63
証,証し,Noun,7,63
使え,使う,Verb,6,63
死ん,死ぬ,Verb,79,62
役,役,Noun,34,62
黙っ,黙る,Verb,32,62
んじゃ,で,Conjunction,29,62
なるほど,成る程,Adverb,17,62
鍵,鍵,Noun,5,62
サマ,様,Suffix,1,62
仕掛け,仕掛け,Noun,1,62
マダ,未だ,Adverb,0,62
演説,演説,Noun,0,62
演説,Noun,0,62
ぁ,ぁ,Auxiliary Symbol,131,61
いけ,行く,Verb,54,61
彼,彼,Pronoun,34,61
残念,残念,な-Adjective,32,61
変わっ,変わる,Verb,28,61
行け,行く,Verb,28,61
おお,おお,Interjection,24,61
なかなか,中々,Adverb,21,61
探す,探す,Verb,9,61
本日,本日,Noun,5,61
モナ,モナ,Noun,0,61
モナ,Noun,0,61
三,三,Noun,52,60
入る,入る,Verb,39,60
聞く,聞く,Verb,38,60
っぽい,ぽい,Suffix,37,60
会,会,Noun,33,60
多く,多く,Noun,20,60
おき,起きる,Verb,16,60
コーヒー,コーヒー-coffee,Noun,13,60
ネタ,ねた,Noun,8,60
認知,認知,Noun,0,60
ヒホ,,Noun,0,60
認知,Noun,0,60
ほら,ほら,Interjection,126,59
あんな,あんな,な-Adjective,103,59
全部,全部,Noun,96,59
頭,頭,Noun,66,59
どっ,何処,Pronoun,64,59
ちまっ,ちまう,Auxiliary Verb,36,59
どうせ,どうせ,Adverb,26,59
変化,変化,Noun,11,59
局,局,Noun,8,59
正義,正義,Noun,5,59
企業,企業,Noun,2,59
銃,銃,Noun,1,59
う,うう,Interjection,144,58
雨,雨,Noun,108,58
噂,噂,Noun,53,58
決め,決める,Verb,50,58
モン,物,Noun,42,58
分,分,Noun,32,58
簡単,簡単,な-Adjective,20,58
もらえる,貰う,Verb,11,58
ラメ,ラメ-lame,Noun,0,58
カワカミ,カワカミ,Noun,0,58
シドウ,,Noun,0,58
ラメ-lame,Noun,0,58
食べ,食べる,Verb,91,57
よー,よ,Particle,67,57
被害,被害,Noun,46,57
しばらく,暫く,Adverb,40,57
理解,理解,Noun,26,57
周り,周り,Noun,23,57
話す,話す,Verb,21,57
イイ,良い,い-Adjective,20,57
目的,目的,Noun,18,57
下さい,下さる,Verb,17,57
わかん,分かる,Verb,12,57
会社,会社,Noun,5,57
ハ,ハ,Code,2,57
ゾ,ぞ,Particle,2,57
期限,期限,Noun,2,57
依頼,依頼,Noun,1,57
総,Prefix,0,57
取り引き,Noun,0,57
部,部,Noun,145,56
良かっ,良い,い-Adjective,81,56
買っ,買う,Verb,73,56
間違い,間違い,Noun,52,56
伝え,伝える,Verb,40,56
決まっ,決まる,Verb,36,56
しっかり,確り,Adverb,21,56
すぎる,過ぎる,Verb,7,56
行ける,行く,Verb,5,56
金城,金城,Noun,0,56
解決,解決,Noun,56,55
連れ,連れる,Verb,54,55
説明,説明,Noun,31,55
よっ,ヨッ,Noun,28,55
言,言,Noun,1,55
社員,社員,Noun,1,55
公園,公園,Noun,0,55
金城,Noun,0,55
公園,Noun,0,55
げ,気,Suffix,71,54
思い,思う,Verb,68,54
急,急,Noun,65,54
起き,起きる,Verb,49,54
本気,本気,Noun,40,54
とっ,取る,Verb,39,54
早い,早い,い-Adjective,29,54
せっかく,折角,Adverb,25,54
あまり,余り,Adverb,21,54
バレ,ばれる,Verb,11,54
犯罪,犯罪,Noun,8,54
ナイ,無い,い-Adjective,4,54
犯人,犯人,Noun,208,53
普通,普通,Noun,55,53
居る,居る,Verb,50,53
つー,つう,Auxiliary Verb,44,53
寝,寝る,Verb,35,53
いか,行く,Verb,29,53
当然,当然,な-Adjective,27,53
かぁ,か,Particle,25,53
さて,扠,Conjunction,22,53
危険,危険,Noun,22,53
みろ,見る,Verb,12,53
会話,会話,Noun,8,53
杏,杏子,Noun,0,53
ござい,御座る,Verb,77,52
たかっ,たい,Auxiliary Verb,62,52
嫌,嫌,な-Adjective,36,52
全員,全員,Noun,26,52
動き,動き,Noun,20,52
待ち,待つ,Verb,18,52
